in s,C1 in V,C3 in V
-2.8856E-06,-7.79430E-02,-2.45617E+00
-2.8852E-06,-7.50133E-02,-2.53430E+00
-2.8848E-06,-7.34508E-02,-2.41711E+00
-2.8844E-06,-7.01305E-02,-2.53430E+00
-2.8840E-06,-6.87633E-02,-2.47570E+00
-2.8836E-06,-6.70055E-02,-2.53430E+00
-2.8832E-06,-6.52477E-02,-2.47570E+00
-2.8828E-06,-6.27086E-02,-2.47570E+00
-2.8824E-06,-6.03648E-02,-2.51477E+00
-2.8820E-06,-5.86070E-02,-2.47570E+00
-2.8816E-06,-5.70445E-02,-2.45617E+00
-2.8812E-06,-5.68492E-02,-2.47570E+00
-2.8808E-06,-5.60680E-02,-2.41711E+00
-2.8804E-06,-5.48961E-02,-2.41711E+00
-2.8800E-06,-5.43102E-02,-2.45617E+00
-2.8796E-06,-5.48961E-02,-2.47570E+00
-2.8792E-06,-5.41148E-02,-2.41711E+00
-2.8788E-06,-5.47008E-02,-2.47570E+00
-2.8784E-06,-5.48961E-02,-2.45617E+00
-2.8780E-06,-5.52867E-02,-2.45617E+00
-2.8776E-06,-5.41148E-02,-2.51477E+00
-2.8772E-06,-5.35289E-02,-2.47570E+00
-2.8768E-06,-5.27477E-02,-2.51477E+00
-2.8764E-06,-5.19664E-02,-2.45617E+00
-2.8760E-06,-5.05992E-02,-2.53430E+00
-2.8756E-06,-5.04039E-02,-2.51477E+00
-2.8752E-06,-4.96227E-02,-2.51477E+00
-2.8748E-06,-4.96227E-02,-2.45617E+00
-2.8744E-06,-4.90367E-02,-2.41711E+00
-2.8740E-06,-4.88414E-02,-2.41711E+00
-2.8736E-06,-4.96227E-02,-2.47570E+00
-2.8732E-06,-5.09898E-02,-2.49523E+00
-2.8728E-06,-5.33336E-02,-2.37805E+00
-2.8724E-06,-5.47008E-02,-2.51477E+00
-2.8720E-06,-5.76305E-02,-2.49523E+00
-2.8716E-06,-6.05602E-02,-2.47570E+00
-2.8712E-06,-6.36852E-02,-2.47570E+00
-2.8708E-06,-6.48570E-02,-2.51477E+00
-2.8704E-06,-6.56383E-02,-2.45617E+00
-2.8700E-06,-6.64195E-02,-2.41711E+00
-2.8696E-06,-6.64195E-02,-2.39758E+00
-2.8692E-06,-6.72008E-02,-2.45617E+00
-2.8688E-06,-6.83727E-02,-2.39758E+00
-2.8684E-06,-6.97398E-02,-2.51477E+00
-2.8680E-06,-6.99352E-02,-2.39758E+00
-2.8676E-06,-7.03258E-02,-2.47570E+00
-2.8672E-06,-7.13023E-02,-2.47570E+00
-2.8668E-06,-7.24742E-02,-2.55383E+00
-2.8664E-06,-7.32555E-02,-2.47570E+00
-2.8660E-06,-7.32555E-02,-2.51477E+00
-2.8656E-06,-7.32555E-02,-2.53430E+00
-2.8652E-06,-7.38414E-02,-2.49523E+00
-2.8648E-06,-7.28648E-02,-2.53430E+00
-2.8644E-06,-7.16930E-02,-2.59289E+00
-2.8640E-06,-7.07164E-02,-2.45617E+00
-2.8636E-06,-6.91539E-02,-2.45617E+00
-2.8632E-06,-6.70055E-02,-2.55383E+00
-2.8628E-06,-6.58336E-02,-2.49523E+00
-2.8624E-06,-6.44664E-02,-2.49523E+00
-2.8620E-06,-6.36852E-02,-2.49523E+00
-2.8616E-06,-6.21227E-02,-2.49523E+00
-2.8612E-06,-6.05602E-02,-2.57336E+00
-2.8608E-06,-5.89977E-02,-2.51477E+00
-2.8604E-06,-5.74352E-02,-2.53430E+00
-2.8600E-06,-5.56773E-02,-2.51477E+00
-2.8596E-06,-5.37242E-02,-2.49523E+00
-2.8592E-06,-5.19664E-02,-2.45617E+00
-2.8588E-06,-5.02086E-02,-2.45617E+00
-2.8584E-06,-4.94273E-02,-2.57336E+00
-2.8580E-06,-4.70836E-02,-2.51477E+00
-2.8576E-06,-4.61070E-02,-2.45617E+00
-2.8572E-06,-4.39586E-02,-2.47570E+00
-2.8568E-06,-4.27867E-02,-2.51477E+00
-2.8564E-06,-4.12242E-02,-2.53430E+00
-2.8560E-06,-3.96617E-02,-2.47570E+00
-2.8556E-06,-3.88805E-02,-2.51477E+00
-2.8552E-06,-3.71227E-02,-2.47570E+00
-2.8548E-06,-3.59508E-02,-2.47570E+00
-2.8544E-06,-3.43883E-02,-2.49523E+00
-2.8540E-06,-3.30211E-02,-2.45617E+00
-2.8536E-06,-3.14586E-02,-2.49523E+00
-2.8532E-06,-2.95055E-02,-2.45617E+00
-2.8528E-06,-2.81383E-02,-2.45617E+00
-2.8524E-06,-2.63805E-02,-2.47570E+00
-2.8520E-06,-2.50133E-02,-2.49523E+00
-2.8516E-06,-2.46227E-02,-2.51477E+00
-2.8512E-06,-2.26695E-02,-2.37805E+00
-2.8508E-06,-2.22789E-02,-2.37805E+00
-2.8504E-06,-2.09117E-02,-2.39758E+00
-2.8500E-06,-2.05211E-02,-2.47570E+00
-2.8496E-06,-1.93492E-02,-2.47570E+00
-2.8492E-06,-1.89586E-02,-2.43664E+00
-2.8488E-06,-1.77867E-02,-2.47570E+00
-2.8484E-06,-1.79820E-02,-2.47570E+00
-2.8480E-06,-1.77867E-02,-2.45617E+00
-2.8476E-06,-1.93492E-02,-2.47570E+00
-2.8472E-06,-1.97398E-02,-2.45617E+00
-2.8468E-06,-2.14977E-02,-2.49523E+00
-2.8464E-06,-2.24742E-02,-2.41711E+00
-2.8460E-06,-2.59898E-02,-2.51477E+00
-2.8456E-06,-2.83336E-02,-2.45617E+00
-2.8452E-06,-3.04820E-02,-2.49523E+00
-2.8448E-06,-3.20445E-02,-2.39758E+00
-2.8444E-06,-3.32164E-02,-2.49523E+00
-2.8440E-06,-3.41930E-02,-2.51477E+00
-2.8436E-06,-3.47789E-02,-2.53430E+00
-2.8432E-06,-3.47789E-02,-2.49523E+00
-2.8428E-06,-3.55602E-02,-2.49523E+00
-2.8424E-06,-3.63414E-02,-2.59289E+00
-2.8420E-06,-3.71227E-02,-2.47570E+00
-2.8416E-06,-3.86852E-02,-2.47570E+00
-2.8412E-06,-4.04430E-02,-2.51477E+00
-2.8408E-06,-4.14195E-02,-2.43664E+00
-2.8404E-06,-4.43492E-02,-2.47570E+00
-2.8400E-06,-4.64977E-02,-2.45617E+00
-2.8396E-06,-4.98180E-02,-2.45617E+00
-2.8392E-06,-5.19664E-02,-2.47570E+00
-2.8388E-06,-5.41148E-02,-2.45617E+00
-2.8384E-06,-5.56773E-02,-2.47570E+00
