in s,C1 in V
-2.7700E-06,-5.93492E-03
-2.7696E-06,-5.79820E-03
-2.7692E-06,-5.75914E-03
-2.7688E-06,-5.64195E-03
-2.7684E-06,-5.72008E-03
-2.7680E-06,-5.77867E-03
-2.7676E-06,-5.85680E-03
-2.7672E-06,-5.93492E-03
-2.7668E-06,-5.89586E-03
-2.7664E-06,-5.91539E-03
-2.7660E-06,-5.91539E-03
-2.7656E-06,-5.91539E-03
-2.7652E-06,-5.79820E-03
-2.7648E-06,-5.72008E-03
-2.7644E-06,-5.72008E-03
-2.7640E-06,-5.72008E-03
-2.7636E-06,-5.75914E-03
-2.7632E-06,-5.77867E-03
-2.7628E-06,-5.64195E-03
-2.7624E-06,-5.66148E-03
-2.7620E-06,-5.77867E-03
-2.7616E-06,-5.68102E-03
-2.7612E-06,-5.62242E-03
-2.7608E-06,-5.42711E-03
-2.7604E-06,-5.23180E-03
-2.7600E-06,-5.13414E-03
-2.7596E-06,-4.95836E-03
-2.7592E-06,-4.84117E-03
-2.7588E-06,-4.78258E-03
-2.7584E-06,-4.80211E-03
-2.7580E-06,-4.72398E-03
-2.7576E-06,-4.80211E-03
-2.7572E-06,-4.64586E-03
-2.7568E-06,-4.56773E-03
-2.7564E-06,-4.37242E-03
-2.7560E-06,-4.17711E-03
-2.7556E-06,-3.96227E-03
-2.7552E-06,-3.84508E-03
-2.7548E-06,-3.74742E-03
-2.7544E-06,-3.57164E-03
-2.7540E-06,-3.35680E-03
-2.7536E-06,-3.27867E-03
-2.7532E-06,-3.16148E-03
-2.7528E-06,-3.10289E-03
-2.7524E-06,-2.94664E-03
-2.7520E-06,-2.82945E-03
-2.7516E-06,-2.59508E-03
-2.7512E-06,-2.43883E-03
-2.7508E-06,-2.20445E-03
-2.7504E-06,-2.08727E-03
-2.7500E-06,-1.83336E-03
-2.7496E-06,-1.75523E-03
-2.7492E-06,-1.67711E-03
-2.7488E-06,-1.54039E-03
-2.7484E-06,-1.44273E-03
-2.7480E-06,-1.38414E-03
-2.7476E-06,-1.26695E-03
-2.7472E-06,-1.11070E-03
-2.7468E-06,-9.93516E-04
-2.7464E-06,-8.76328E-04
-2.7460E-06,-8.95859E-04
-2.7456E-06,-7.00547E-04
-2.7452E-06,-5.05234E-04
-2.7448E-06,-4.66172E-04
-2.7444E-06,-3.29453E-04
-2.7440E-06,-3.48984E-04
-2.7436E-06,-3.09922E-04
-2.7432E-06,-1.53672E-04
-2.7428E-06,-3.64844E-05
-2.7424E-06,4.16406E-05
-2.7420E-06,1.19766E-04
-2.7416E-06,2.56484E-04
-2.7412E-06,2.56484E-04
-2.7408E-06,3.73672E-04
-2.7404E-06,4.51797E-04
-2.7400E-06,3.93203E-04
-2.7396E-06,4.12734E-04
-2.7392E-06,3.73672E-04
-2.7388E-06,4.12734E-04
-2.7384E-06,2.95547E-04
-2.7380E-06,2.56484E-04
-2.7376E-06,2.57813E-06
-2.7372E-06,-5.60156E-05
-2.7368E-06,-2.12266E-04
-2.7364E-06,-4.66172E-04
-2.7360E-06,-7.00547E-04
-2.7356E-06,-1.07164E-03
-2.7352E-06,-1.48180E-03
-2.7348E-06,-1.81383E-03
-2.7344E-06,-2.14586E-03
-2.7340E-06,-2.38023E-03
-2.7336E-06,-2.49742E-03
-2.7332E-06,-2.59508E-03
-2.7328E-06,-2.82945E-03
-2.7324E-06,-2.82945E-03
-2.7320E-06,-2.84898E-03
-2.7316E-06,-2.88805E-03
-2.7312E-06,-2.92711E-03
-2.7308E-06,-2.86852E-03
-2.7304E-06,-2.88805E-03
-2.7300E-06,-2.82945E-03
-2.7296E-06,-2.77086E-03
-2.7292E-06,-2.73180E-03
-2.7288E-06,-2.61461E-03
-2.7284E-06,-2.45836E-03
-2.7280E-06,-2.34117E-03
-2.7276E-06,-2.20445E-03
-2.7272E-06,-2.08727E-03
-2.7268E-06,-2.10680E-03
-2.7264E-06,-2.14586E-03
-2.7260E-06,-2.12633E-03
-2.7256E-06,-2.32164E-03
-2.7252E-06,-2.39977E-03
